,partition_id,url,industry,company,title,description,employment_type,salary_min,salary_max,salary_currency,city,region,postal_code,position_levels,work_schedules,work_modes,technologies_os,technologies_optional,requirements_expected,we_offer,benefits,date_posted,valid_through,monthly_max_salary,mapped_industry,kw_industry,mapped_languages
count,63282,63282,63281,63281,63281,63281,63281,23304.0,20939.0,63281,62173,63281,28240,63276,61636,63273,5888,2711,63279,59087,63281,63281,63281,21499.0,62437,62437,18035
unique,63282,63282,6138,18824,31495,42849,87,,,3,2807,17,4856,25,7,12,2813,1347,43348,34573,13198,46799,114,,16,569,133
top,"%23azstaz-w-marketingu-zespol-category-management-f-m-warszawa-krakowiakow-48,oferta,1004710495","https://www.pracuj.pl/praca/%23azstaz-w-marketingu-zespol-category-management-f-m-warszawa-krakowiakow-48,oferta,1004710495","Obsługa klienta, Sprzedaż, Sprzedawcy, Sieci handlowe",Sii Sp. z o.o.,Przedstawiciel handlowy / Przedstawicielka handlowa,"Mistrz/Mistrzyni smaku: Przygotowywanie pysznych produktów., Ambasador/Ambasadorka gościnności: Kompletowanie i serwowanie zamówień., Strażnik/Strażniczka jakości: Pielęgnacja sprzętu i utrzymanie krystalicznej czystości przy Twoim stanowisku pracy.",employment contract,,,PLN,Warszawa,mazowieckie,80-309,"[""specialist""]","[""full-time""]","[""full office work""]","[""SQL""]","[""SQL""]","Twoja energia i chęć do nauki., Współpraca jako klucz do sukcesu., Pozytywne nastawienie i dużo uśmiechu.","What we offer, Great Place to Work since 2015 - it’s thanks to feedback from our workers that we get this special title and constantly implement new ideas, Employment stability - revenue of PLN 2.1BN, no debts, since 2006 on the market, We share the profit with Workers - over PLN 76M has already been allocated for this aim since 2022, Attractive benefits package - private healthcare, benefits cafeteria platform, car discounts and more, Comfortable workplace – class A offices or remote work, Dozens of fascinating projects for prestigious brands from all over the world – you can change them thanks to Job Changer application, PLN 1 000 000 per year for your ideas - with this amount, we support the passions and voluntary actions of our workers, Investment in your growth – meetups, webinars, training platform and technology blog – you choose, Fantastic atmosphere created by all Sii Power People",,2026-03-27T23:00:00Z,2026-05-13T21:59:59Z,,Engineering & Design,sales,"[""English""]"
freq,1,1,1008,1658,328,192,37191,,,63086,11955,16783,243,22027,54772,35231,123,33,192,1154,21594,341,3292,,11013,3766,14695
mean,,,,,,,,5976.962679368349,10304.31345240938,,,,,,,,,,,,,,,12777.971958695753,,,
std,,,,,,,,4767.655378234513,10067.176908149631,,,,,,,,,,,,,,,12740.090167446471,,,
min,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,160.0,,,
25%,,,,,,,,4000.0,5900.0,,,,,,,,,,,,,,,6500.0,,,
50%,,,,,,,,5600.0,8300.0,,,,,,,,,,,,,,,9000.0,,,
75%,,,,,,,,7700.0,12500.0,,,,,,,,,,,,,,,14200.0,,,
max,,,,,,,,90000.0,300000.0,,,,,,,,,,,,,,,300000.0,,,
